hotel_uid,review_uid,additional_scoring,flag_processed,flag_validated,negative_review,negative_review_words,positive_review,positive_review_words,reviewer_nationality,reviewer_reviews_count,reviewer_score
ceb44228-679d-4109-8056-c4b126eb92b1,2cfc1f00-2b60-11b2-8080-808080808080,2623,,, Generally too hot and a little claustrophobic No opening windows everything air conditioned Little access to fresh air and the outside world ,24, Clean tidy everything works properly Excellent location ,9, United Kingdom ,12,7.5
ceb44228-679d-4109-8056-c4b126eb92b1,1e106f00-2b56-11b2-8080-808080808080,2623,,, manic busy breakfast and very pricey for self service the second morning we had a great breakfast round the corner for half the price and better atmosphere,28, soft comfy bed and quality pillows and linen ,10, United Kingdom ,1,7.5
ceb44228-679d-4109-8056-c4b126eb92b1,ea90d700-2b55-11b2-8080-808080808080,2623,,, The cleanliness at room 953 We were in 3 different rooms for 10 days that was the only room with the problem ,24, I liked the restaurants in the property This was our third time staying at the Hotel Always had a lovely expirience Thanks ,24, Panama ,2,9.6
ceb44228-679d-4109-8056-c4b126eb92b1,7f17bf00-2b52-11b2-8080-808080808080,2623,,, Was slightly dusty in the room but other than that I couldn t fault it Although slightly over priced for what it was ,25, Bedrooms were a great size staff were friendly helpful we had a bath and shower in the room which was a bonus as only expected the shower ,29, United Kingdom ,1,6.3
ceb44228-679d-4109-8056-c4b126eb92b1,7d99c700-2b51-11b2-8080-808080808080,2623,,,No Negative,0, Beautiful hotel well located on the South Bank Nice staff ,12, Ireland ,6,9.6
ceb44228-679d-4109-8056-c4b126eb92b1,139ea700-2b4f-11b2-8080-808080808080,2623,,, We did the breakfast buffet each day for a week and the servers were very slow to bring coffee and tea Also we stored our bags on the check out day and it took 15 minutes standing at the counter later that day for someone to stop chatting with their co worker and retrieve my bags Throughout our stay our sink was backed up and had water stains under the basin ,73, Very comfortable bed and plenty of closet space Dinner at Brassiere Joel was great on Christmas with excellent service Work out room was clean and had the equipment we wanted Also there was excellent live music in the bar each night This was the perfect location for us Westminster and Waterloo tube stations were very close and was walking distance to The Eye Westminster Abbey Big Ben etc from the front door ,74, United States of America ,1,7.5
ceb44228-679d-4109-8056-c4b126eb92b1,dba52700-2b4b-11b2-8080-808080808080,2623,,, Nothing,2, Standard of hotel and location,6, United Kingdom ,14,10.0
ceb44228-679d-4109-8056-c4b126eb92b1,a5299f00-2b49-11b2-8080-808080808080,2623,,, Very busy had difficulty getting a taxi as queuing ,11, Position very good ,5, United Kingdom ,1,7.9
ceb44228-679d-4109-8056-c4b126eb92b1,d72b3f00-2b48-11b2-8080-808080808080,2623,,,No Negative,0, Fabulous views from hotel very close to places of interest Great food too ,15, United Kingdom ,7,9.6
ceb44228-679d-4109-8056-c4b126eb92b1,36b49700-2b44-11b2-8080-808080808080,2623,,,No Negative,0, Upon check in the staff were all so polite and welcoming to stepping through the doors We were served by Shady who really polite and friendly and let us know about the other amazing little perks about staying here to the love music on the evening and spa treatments also Always had bad experiences with hotels just but staying here has just been above and beyond anything we stayed the 1 night and I ve never been amazed as soon as I walked into our hotel room as I did here The room was spotless and bathroom was fantastic with a separate shower and a superb bath which I loved Everything is so easy to get too and within walking distance from either Embankment or Waterloo station couldn t fault anything Celebrating my boyfriends birthday before he is deployed for a while this was our last little trip together till next year and arriving back in our hotel there was a lovely little note and an AMAZING CHEESECAKE left for us reading Happy Birthday and to enjoy our stay from Celeste Sullivan Guest relations manager I was certainly not expecting anything so kind and for that I m beyond grateful Breakfast in the morning was just brilliant the staff were soo efficient and quick and still so friendly the choice of food was brilliant even for the picky eaters like my self and winner of Peanut Butter Checking out was a breeze and we were then served by the lovely Nicole who made sure our stay went well and was really friendly the kind of service you expect to get from any hotels you tend to stay at and I will never stay anywhere other than here in the future Thank you Park Plaza for the most amazing experience here at your wonderful hotel me and my partner were amazed by your service and can t wait to come back again next year HIGHLY RECOMMENDED and family friendly too you won t be disappointed x X x ,339, United Kingdom ,1,9.2
ceb44228-679d-4109-8056-c4b126eb92b1,fe13be00-2b41-11b2-8080-808080808080,2623,,, no natural daylight in room,6, room was comfortable and clean,6, United Kingdom ,5,8.8
ceb44228-679d-4109-8056-c4b126eb92b1,97148e00-2b41-11b2-8080-808080808080,2623,,, The buffet breakfast ,5, The bar was great Nice atmosphere great food The room was very comfortable and climate control was wonderful able to sleep at a very cool temp at night ,30, Denmark ,9,10.0
ceb44228-679d-4109-8056-c4b126eb92b1,fb17ce00-2b3f-11b2-8080-808080808080,2623,,, The room lightning needs improving ,7, The bed was extremely comfortable as was the duvet ,11, Czech Republic ,8,9.2
ceb44228-679d-4109-8056-c4b126eb92b1,f999d600-2b3e-11b2-8080-808080808080,2623,,,No Negative,0, From the moment we walked into the hotel we felt so welcomed Could not fault a thing about our stay at the Park Plaza absolutely flawless hotel ,29, United Kingdom ,1,10.0
ceb44228-679d-4109-8056-c4b126eb92b1,852cee00-2b35-11b2-8080-808080808080,2623,,,No Negative,0, Great staff all so friendly and helpful loved it ,11, United Kingdom ,1,10.0
ceb44228-679d-4109-8056-c4b126eb92b1,1cafc600-2b34-11b2-8080-808080808080,2623,,, The hotel lacks a lounge area,7, large rooms with excellent facilities Superb location of the hotel super efficient and attentive staff Wide choice of breakfast menu,21, United Kingdom ,1,10.0
ceb44228-679d-4109-8056-c4b126eb92b1,4bb57600-2b31-11b2-8080-808080808080,2623,,, Not much room in the bar lounge at any time of day The air con in the room was a bit temperamental The sofa bed was a little uncomfortable in the studio room ,35, We love the location of the hotel we ve stayed 3 times now The rooms are modern and clean The studio room was great for the 3 of us Great for business or pleasure ,36, United Kingdom ,1,7.9
ceb44228-679d-4109-8056-c4b126eb92b1,76413e00-2b2b-11b2-8080-808080808080,2623,,, not applicable,3, The hotel was beautiful The staff was outstanding,9, United States of America ,1,9.6
ceb44228-679d-4109-8056-c4b126eb92b1,a6c4e600-2b29-11b2-8080-808080808080,2623,,, TV wasn t working but it was fixed very quickly pratially clogged sink in bathroom no choice of tea during breakfast water pouring on the floor from the shower door lack of grip for a towel within reach from shower cabin,42, very comfortable beds very quiet room excellent localization,9, Poland ,19,7.5
ceb44228-679d-4109-8056-c4b126eb92b1,07cc3600-2b26-11b2-8080-808080808080,2623,,, I didn t like that there were no windows to the outside in the room ,17, I liked the room it was comfortable and felt quite glamorous I also liked the pool ,18, United Kingdom ,1,9.2
ceb44228-679d-4109-8056-c4b126eb92b1,a0cd0600-2b25-11b2-8080-808080808080,2623,,, No real complaints ,5, Great location Room was clean well appointed and comfortable Staff made an effort to ensure we were happy The room was also very quiet and the WiFi was free and fast enough to use for streaming video and work ,41, United States of America ,2,9.6
ceb44228-679d-4109-8056-c4b126eb92b1,6d4d6e00-2b25-11b2-8080-808080808080,2623,,, One day no replacement of small milks to make coffee in our room ,15, The beds were comfortable and especially the pillows ,10, United Kingdom ,1,8.3
ceb44228-679d-4109-8056-c4b126eb92b1,cfd2b600-2b22-11b2-8080-808080808080,2623,,, Elevators are a complete mess If your room not at the high floor the minimal waitning time to get down to the lobby is 5 minutes can easily be 10 Breakfast place is also far too busy and almost no room between the tables makes you feel at the train station rather than at the high quality hotel ,60, Location is great,4, Russia ,50,7.5
ceb44228-679d-4109-8056-c4b126eb92b1,01d45600-2b22-11b2-8080-808080808080,2623,,, Breakfast overpriced ,4, Ease of access to the city Superior room and high standard of hygiene ,15, United Kingdom ,47,9.2
ceb44228-679d-4109-8056-c4b126eb92b1,94dd4600-2b1d-11b2-8080-808080808080,2623,,,No Negative,0, Fantastic location Bus from the Stansted airport stops very close to the hotel Close to Big Ben and London Eye and underground station Walk distance to Trafalgar Square Buckingham palace and South bank Check in and check out well managed including luggage storage without waiting Twin studio very big and comfortable for 3 persons One person on sofabed but snug enough ,63, Czech Republic ,10,9.2
ceb44228-679d-4109-8056-c4b126eb92b1,c6dee600-2b1c-11b2-8080-808080808080,2623,,, Nothing,2, Frindly staff super clean excellent location,7, Kuwait ,5,10.0
ceb44228-679d-4109-8056-c4b126eb92b1,c560ee00-2b1b-11b2-8080-808080808080,2623,,, Long wait for lifts in the morning,8, Fantastic room A cake for my husband s birthday was a lovely touch Location location location ,18, United Kingdom ,1,9.6
ceb44228-679d-4109-8056-c4b126eb92b1,5b65ce00-2b19-11b2-8080-808080808080,2623,,, I did not like the fact the variety was not a lot in the lounge The staff in the reception area were not very friendly and welcoming The Gym was not updated and also the swimming pool did not have a jacuzzi ,44, The view was very nice ,7, United Kingdom ,2,4.2
ceb44228-679d-4109-8056-c4b126eb92b1,59e7d600-2b18-11b2-8080-808080808080,2623,,, Nothing really Just prices for London but that isn t a reflection of the hotel You pay for the location Staff were friendly Booking in out a little long but think that was due to the IT not staff ,41, The location was fantastic for Westminster London Eye Churchill War rooms Short trip by taxi to Covent Gardens Even walking along South Bank to Trafalgar Square etc then onto china town The studio room was spacious clean and fully kitted out Car park U park right behind hotel but get into London early to get a space ,59, United Kingdom ,5,8.8
ceb44228-679d-4109-8056-c4b126eb92b1,f38fff00-2b16-11b2-8080-808080808080,2623,,, The room was too dark with poor lighting and the shower was cold,14, Comfortable bed,3, United Kingdom ,10,7.5
ceb44228-679d-4109-8056-c4b126eb92b1,25919f00-2b16-11b2-8080-808080808080,2623,,, The cost of the breakfast was not justified 14 pp in advance or 20 on the door However the little in hotel coffe ship offered an excellent breakfast and great coffee with a price of 12 50 for two of us ,43, There was not much to dislike Its position is excellent and the hotel is clean efficent and has plenty of facilities The staff are helpful and make you feel as though they are there just for you Our room or I should say rooms was fab and the bed offered a good night s sleep Two large TVs a great bathroom We would have been happy just living there ,71, United Kingdom ,58,10.0
ceb44228-679d-4109-8056-c4b126eb92b1,8994df00-2b14-11b2-8080-808080808080,2623,,, the key cards to into the executive lounge we kept on going back and forth to reception to get new ones because they kept stop working this was the only bad thing,33, the rooms are immaculate the location the executive breakfast it was amazing my husband and I will definitely stay there again it was perfect as we were celebrating our wedding anniversary ,33, United Kingdom ,5,10.0
ceb44228-679d-4109-8056-c4b126eb92b1,10ae0f00-2b08-11b2-8080-808080808080,2623,,,No Negative,0, Absolutely everything great staff great location fab hotel great food elemis bathroom toiletries comfy beds superb rooms Thank you ,21, United Kingdom ,1,10.0
ceb44228-679d-4109-8056-c4b126eb92b1,3fb3bf00-2b05-11b2-8080-808080808080,2623,,, staff hardly understands English English breakfast is terrible Mass processing in every sense,14, Location,2, Switzerland ,4,4.6
ceb44228-679d-4109-8056-c4b126eb92b1,c9c8df00-2afa-11b2-8080-808080808080,2623,,, The door lock was faulty on our room three different members of styaff tried to repasir it eventually we were moved to an alternative room 2 15 hours later Having travellede all day then having to wait to unpack etc was not good,44, Great location,3, Cyprus ,31,7.9
ceb44228-679d-4109-8056-c4b126eb92b1,c1abae00-2af6-11b2-8080-808080808080,2623,,, Food at breakfast could have been higher quality ,10, Great staff Huge and very quiet room Good quality furnishings ,12, United Kingdom ,20,9.2
ceb44228-679d-4109-8056-c4b126eb92b1,c02db600-2af5-11b2-8080-808080808080,2623,,, Cleaning Noice bad services Bad internet services No mobile connections in the hotel Error on the invoice Debit 2 times the amount on the credit card ,28, Location,2, Belgium ,13,4.6
ceb44228-679d-4109-8056-c4b126eb92b1,2430f600-2af4-11b2-8080-808080808080,2623,,,No Negative,0, Great facilities used the pool steam room sauna very attentive staff including in the spa came to check temperature was how I wante dit in both steam and sauna very clean spacious Very quiet considering the location Would have loved to have made use of the spa treatments that looked reasinavle value for money but limited time to enjoy the lovely facilities Ideally located close to Waterloo Station,69, United Kingdom ,7,9.6
ceb44228-679d-4109-8056-c4b126eb92b1,15454600-2aea-11b2-8080-808080808080,2623,,, Very difficult to connect to Internet but great IT support personnel helped me get on Internet slow,18, The young employees located at entrance to help you Taxi line up made getting a taxi so easy Proximity to Waterloo and westminster Conierge answered questions patiently Wonderful services when needing extra towels etc Suite was very roomy comfortable,40, United States of America ,1,7.9
4718a06c-dc7e-4d47-b771-291cdc832eac,f5029f00-2b5c-11b2-8080-808080808080,396,,, Starting to show signs of needing some renovation but nothing major ,13, Everything works and it s comfortable ,8, Luxembourg ,3,7.9
4718a06c-dc7e-4d47-b771-291cdc832eac,5609ef00-2b59-11b2-8080-808080808080,396,,, That there is no tea and coffee facility in room and no iron I d expect these from a 4 star hotel ,24, Modern clean v good value for money and in a fab loacation We loved Poblenou ,17, United Kingdom ,7,8.3
4718a06c-dc7e-4d47-b771-291cdc832eac,228a5700-2b59-11b2-8080-808080808080,396,,,No Negative,0, The staff were very nice and most helpful We had a problem with some important items we had left behind A young lady Reyes Gomez very efficiently helped us to recover the items All staff at this hotel very very nice and helpful ,45, Australia ,16,10.0
4718a06c-dc7e-4d47-b771-291cdc832eac,4eb16600-2b33-11b2-8080-808080808080,396,,, Pool too small area always crowded,7,No Positive,0, Austria ,9,5.8
4718a06c-dc7e-4d47-b771-291cdc832eac,45bd9600-2b2d-11b2-8080-808080808080,396,,, Specififically booked twin room 3 months before as traveling with friend and got double no twin available,18, Staff helpful,3, United Kingdom ,4,7.5
4718a06c-dc7e-4d47-b771-291cdc832eac,a6c4e600-2b29-11b2-8080-808080808080,396,,, I emailed the hotel and asked for recommendations to get from the airport to the hotel and they did not respond until the day before we arrived I had already made transportation plans at a much higher cost A more timely response would have saved us ,48,No Positive,0, United States of America ,8,6.7
4718a06c-dc7e-4d47-b771-291cdc832eac,3541f700-2afe-11b2-8080-808080808080,396,,, The bed and the shower were just okay ,10, Nice building in excellent shape large bright very clean room with large bathroom Fast free internet access ,19, Germany ,17,8.8
4718a06c-dc7e-4d47-b771-291cdc832eac,e63f9600-2aec-11b2-8080-808080808080,396,,, Bed is not comfortable sheets and Blanket not clean,10, Location is nice room is fine,7, Egypt ,15,7.1
1532eab6-ae38-4893-a223-5ecbd82e68b8,50240600-2b79-11b2-8080-808080808080,550,,,No Negative,0, The hotel was beautiful and the location was perfect to where we wanted to be The staff were brilliant We had a problem with the door in our first room and when they couldn t fix it they moved us to another room which was one floor below the first room The views from both rooms were lovely we faced the north of Amsterdam and had some beautiful water views ,72, United Kingdom ,3,9.6
1532eab6-ae38-4893-a223-5ecbd82e68b8,0346f600-2b68-11b2-8080-808080808080,550,,,No Negative,0, The restaurant was excelent service and food Excelent breakfast and service ,13, Iceland ,3,10.0
1532eab6-ae38-4893-a223-5ecbd82e68b8,cb4d7600-2b64-11b2-8080-808080808080,550,,, the room s decorations,5,No Positive,0, Lebanon ,2,8.3
1532eab6-ae38-4893-a223-5ecbd82e68b8,af9b6700-2b50-11b2-8080-808080808080,550,,, The hotel is a bit pricy A little far from the museums and the Red Light District ,19, The staff was very nice The breakfast was delicious ,11, Germany ,45,7.9
1532eab6-ae38-4893-a223-5ecbd82e68b8,59232e00-2b3a-11b2-8080-808080808080,550,,, Elevators had a mind of their own ,9, Nice shower,3, ,1,7.5
1532eab6-ae38-4893-a223-5ecbd82e68b8,51ad5600-2b35-11b2-8080-808080808080,550,,,No Negative,0, This is the second time we have stayed with Room Mate Aitana We really love how handy the hotel is to centraal station Lovely big spacious rooms glorious large shower and bathroom clean modern and practical Also great Bagels directly opposite and easy to get to the streets and canals of central Amsterdam Love it ,57, United Kingdom ,4,10.0
1532eab6-ae38-4893-a223-5ecbd82e68b8,e3384e00-2b2f-11b2-8080-808080808080,550,,, Nothing,2, Cleanness,2, China ,9,8.8
1532eab6-ae38-4893-a223-5ecbd82e68b8,7c391e00-2b2f-11b2-8080-808080808080,550,,,No Negative,0, Clean friendly and welcoming,5, United Kingdom ,1,10.0
1532eab6-ae38-4893-a223-5ecbd82e68b8,615dae00-2b1d-11b2-8080-808080808080,550,,, On arrival we were told there was no cot for our daughter despite booking one oh but you booked through Booking com and it does say subject to availability Frankly as a parent that s like saying here s your room but it has no bed it it that would not be acceptable and this is not acceptable in any way If you tell me when I book there is not cot then I go and book somewhere else Its that Simple A childs safety is paramount and not subject to availability Starting our stay this way ruined our experience in this hotel I do not want to start my stay with a fight and then have to think about trying to fond another hotel Although it was sorted and no doubt someone else therefore had the same experience later and an apology made it is not acceptable EVER and its not the first time this has happened and sadly not the first time we have been made to feel like 2nd class citizens for using booking com ,180, The room was a good size we paid for a view and it was good breakfast was nice to look out over Amsterdam and enjoy the sunshine We ate in the restaurant one evening and that was very good too Its a shame because overall the hotel was very nice but our overall experience was spoilt by a terrible first impression ,63, United Kingdom ,4,7.1
1532eab6-ae38-4893-a223-5ecbd82e68b8,270f9700-2b17-11b2-8080-808080808080,550,,, No one informed us about the bus which is across the hotel as it was a bit difficult to walk to the Central station as the road is prepared for the bikes and cars and it is a bit far I didn t like the breakfast no varieties poor ,51, I like the view and the comfort the pillows and Mattress the hotel in general is very nice and new ,22, United Arab Emirates ,1,8.3
1532eab6-ae38-4893-a223-5ecbd82e68b8,30c80f00-2afb-11b2-8080-808080808080,550,,,No Negative,0, We loved to stay at Room Mate Aitana just because the hotel is wonderful very quiet and comfortable the staff is amazing and Amsterdam is one of the most incredible places on earth Also you must enjoy the restaurant I Dock very beautiful and with a simple and tasty food ,52, Brazil ,1,8.8
1532eab6-ae38-4893-a223-5ecbd82e68b8,f3ad4e00-2af5-11b2-8080-808080808080,550,,, We suggest a special breakfast rate for in house guest ,12, The location and front desk service ,8, Thailand ,19,8.8
1532eab6-ae38-4893-a223-5ecbd82e68b8,7c447600-2aea-11b2-8080-808080808080,550,,,No Negative,0, I thought the staff were fantastic on arrival and throughout our stay,13, United Kingdom ,1,10.0
60e7fe9f-399f-4050-94b4-fea681d28a1c,7dabbe00-2b75-11b2-8080-808080808080,129,,, We ordered some beverage items to be sent up to the rooms They never arrived so we had to re order Not impressed ,25, A smart room excellent bed and air con that worked efficiently during very hot weather Polite and helpful staff ,21, United Kingdom ,7,9.6
60e7fe9f-399f-4050-94b4-fea681d28a1c,f384a700-2b5b-11b2-8080-808080808080,129,,,No Negative,0, Design,2, Hong Kong ,4,8.8
60e7fe9f-399f-4050-94b4-fea681d28a1c,5f1b0e00-2b3e-11b2-8080-808080808080,129,,, Rooms for single are small,6, Everything,2, Saudi Arabia ,1,9.2
60e7fe9f-399f-4050-94b4-fea681d28a1c,f0a60600-2b38-11b2-8080-808080808080,129,,,No Negative,0, Beautiful decor Individually designed rooms with very comfortable beds Convenient location in an interesting area Close to tube and bus transport ,23, Australia ,34,9.2
60e7fe9f-399f-4050-94b4-fea681d28a1c,b2a2af00-2b0d-11b2-8080-808080808080,129,,, Really would have liked a kettle in the room for early morning cup of tea The rooms were rather small but everything was there ,26, Very comfortable hotel in peaceful location and the service was excellent very attentive staff Nothing was too much trouble for them ,23, United Kingdom ,8,9.6
60e7fe9f-399f-4050-94b4-fea681d28a1c,97c73f00-2afb-11b2-8080-808080808080,129,,,No Negative,0, Personalised service and attention to detail ,8, United Kingdom ,2,9.2
60e7fe9f-399f-4050-94b4-fea681d28a1c,ae461600-2ae9-11b2-8080-808080808080,129,,, its a bit noisy when anybody walks beside the room,11, Gd location clean hotel,5, United Arab Emirates ,1,8.3
60e7fe9f-399f-4050-94b4-fea681d28a1c,3cc32700-2abe-11b2-8080-808080808080,129,,,No Negative,0, beautiful cozy decor in an excellent busy knightsbridge location but on a hiden quiet square,16, United States of America ,5,8.8
941299c0-07a5-4876-bba6-6eb132fd8c4e,4d281600-2b77-11b2-8080-808080808080,390,,, Hotel is looking a bit old but it s best value for money in Mayfair location,17, Staff are super helpful and friendly Service is excellent Better than at luxury hotels,15, Singapore ,4,9.6
941299c0-07a5-4876-bba6-6eb132fd8c4e,3b407600-2b6b-11b2-8080-808080808080,390,,, Old decor small rooms There are no queen beds in the double rooms and bed comforts are below average The only thing going for it is the location Too expensive for a Holiday Inn ,36, Location,2, United States of America ,10,6.3
941299c0-07a5-4876-bba6-6eb132fd8c4e,0346f600-2b68-11b2-8080-808080808080,390,,, Very small and old bathroom,6, Fantastic location very nice size bedroom and beds,9, Portugal ,1,7.9
941299c0-07a5-4876-bba6-6eb132fd8c4e,644e4600-2b64-11b2-8080-808080808080,390,,, nothing,2, wonderful ,3, Hong Kong ,1,7.9
941299c0-07a5-4876-bba6-6eb132fd8c4e,f5029f00-2b5c-11b2-8080-808080808080,390,,, 3 x double g t s in the bar was 40 20 it was only Gordons ,18, Excellent location for theatre distrct Oxford st shops the sights Green Park tube station yards away,17, United Kingdom ,2,7.5
941299c0-07a5-4876-bba6-6eb132fd8c4e,bb8b2700-2b58-11b2-8080-808080808080,390,,, Room should install a radiator because the AC doesn t give out heat although we set it to 32deg Later we realised that we could request for a portable radiator which was much appreciated Gym is missing in your hotel ,42, We appreciated that a bottle of wine n some fruits were sent to us Nice touch ,18, Singapore ,3,7.1
941299c0-07a5-4876-bba6-6eb132fd8c4e,b5934700-2b54-11b2-8080-808080808080,390,,, There was some issues in having warm water in the bathrooms although they were business luxurious suits,18, Everything,2, United Kingdom ,7,9.2
941299c0-07a5-4876-bba6-6eb132fd8c4e,0aaad700-2b49-11b2-8080-808080808080,390,,, Hotel needs refurbishing,4,No Positive,0, United Kingdom ,1,4.2
941299c0-07a5-4876-bba6-6eb132fd8c4e,2129ae00-2b37-11b2-8080-808080808080,390,,, Very old and sometimes broken furniture awful Internet high speed internet is extremely expensive lack of light empty mini bar ,22, Location staff,3, Russia ,20,5.8
941299c0-07a5-4876-bba6-6eb132fd8c4e,1835de00-2b31-11b2-8080-808080808080,390,,,No Negative,0, Reception staff were extremely helpful Location was perfect ,10, United Kingdom ,9,10.0
941299c0-07a5-4876-bba6-6eb132fd8c4e,13bbf600-2b2e-11b2-8080-808080808080,390,,,No Negative,0, Location is amazing,4, United Arab Emirates ,5,7.5
941299c0-07a5-4876-bba6-6eb132fd8c4e,ab3ece00-2b2c-11b2-8080-808080808080,390,,, I don t like with one of the reception staff when I was doing check in there because she had less hospitality for new hotel guest she was horrible as reception staff,33, I like the location it is very close to oxford circus china town and Buckingham palace,17, United Kingdom ,6,6.3
941299c0-07a5-4876-bba6-6eb132fd8c4e,4143ae00-2b2a-11b2-8080-808080808080,390,,, Disorganized lobby and reception,5, Great location,3, United States of America ,1,8.8
941299c0-07a5-4876-bba6-6eb132fd8c4e,65d79600-2b20-11b2-8080-808080808080,390,,, The price I think could be cheaper ,9, Room staff and central location of hotel ,9, Greece ,2,8.3
941299c0-07a5-4876-bba6-6eb132fd8c4e,bd147700-2b14-11b2-8080-808080808080,390,,, no hot water decor ,6, easy to get to comfy bed,7, Greece ,3,8.3
941299c0-07a5-4876-bba6-6eb132fd8c4e,792b3700-2b09-11b2-8080-808080808080,390,,, Heating did not work in cold room we were originally allocated Receptionist immediately offered an alternative but someone slipped up on maintenance ,24, Friendly helpful staff Clean comfortable 2nd room see above ,11, United Kingdom ,1,8.8
941299c0-07a5-4876-bba6-6eb132fd8c4e,d5b89f00-2b02-11b2-8080-808080808080,390,,, Small problem with fridge as it would suddenly make loud noises for no obvious reason room 346 ,19, The staff are efficient and polite ,8, United Kingdom ,4,9.6
941299c0-07a5-4876-bba6-6eb132fd8c4e,3b39d700-2b02-11b2-8080-808080808080,390,,, Slightly outdated and shabby decor,6, Good location comfortable beds,5, United Kingdom ,18,7.5
941299c0-07a5-4876-bba6-6eb132fd8c4e,b43df600-2aed-11b2-8080-808080808080,390,,, Old furniture,3, Very good,3, United Kingdom ,21,8.8
941299c0-07a5-4876-bba6-6eb132fd8c4e,b2bffe00-2aec-11b2-8080-808080808080,390,,, Breakfast is not worth the money The worst of our many hotels this visit Next time I d go out to eat for sure Lots of better options around the corner ,33, Rooms are OK Nothing great Great location though for shopping galleries theatre sightseeing access and the Mayfair nightlife Check out the back lanes off Berkley street for dining especially some good middle eastern food which is now a dominant culture here Nice italian restaurant on the main road There are good English pubs too Handy access from Green Park underground one minute and the Hop on Hop off buses It is relatively expensive but expect that for the location Pays back in limited travel time to everything ,89, New Zealand ,13,7.9
941299c0-07a5-4876-bba6-6eb132fd8c4e,acc81e00-2ae8-11b2-8080-808080808080,390,,, The limit on the wifi devices per room We traveled with a number of devices and could not use them all without an additional fee As there were only two of us it wasnt like we d be using all of the devices at the same time ,49, Staff was amazingly helpful and friendly Especially the morning restaurant staff The team was wonderful and friendly We would highly recommend ,23, United States of America ,2,9.2
941299c0-07a5-4876-bba6-6eb132fd8c4e,12495600-2ae8-11b2-8080-808080808080,390,,, Big troubles with double charged authorization Cards sometimes worked at other occasiones did not,15,No Positive,0, Serbia ,3,5.4
70d073a5-0d83-4a7e-a4e1-925c4f1ba33a,dbb71e00-2b6f-11b2-8080-808080808080,96,,,No Negative,0, Kind staff Comfortable room Wide and excellent continental breakfast ,11, Italy ,168,7.5
70d073a5-0d83-4a7e-a4e1-925c4f1ba33a,f8d52e00-2b60-11b2-8080-808080808080,96,,, Rainy weather not the fault of NH ,9, Everything my stay was very good ,8, Oman ,1,10.0
4b939fad-178f-4498-9fb2-85bcdb645279,e4aaee00-2b75-11b2-8080-808080808080,321,,, nothing,2, The rooms where big and stylish The bathroom was huge with a great rainfall shower The mini bar was free and topped up daily which was unexpected The breakfast was amazing with lots of choices on offer even a waffle iron to make your own waffles ,48, United Kingdom ,12,10.0
4b939fad-178f-4498-9fb2-85bcdb645279,8828de00-2b37-11b2-8080-808080808080,321,,, Cost of meals and expensive bar,7, Room good well cleaned and super sized bed,9, Jersey ,2,8.3
4b939fad-178f-4498-9fb2-85bcdb645279,10ae0f00-2b08-11b2-8080-808080808080,321,,, Nothing ,3, Top notch design hotel in the tallest 58 stories and newest building of Vienna Very kind and helpful staff Near subway station Beautiful location with jaw dropping views of the Danube and the city from your bed and from your shower Excellent buffet breakfast Quiet ,47, Canada ,27,10.0
4b939fad-178f-4498-9fb2-85bcdb645279,fbca7f00-2af9-11b2-8080-808080808080,321,,, 30 a Night not 24h Parking Fee With multiple entry exits at car park during 2 days of stay 78 parking bill Modern but rather cheap interior,28, Nice Views Donauinsel around the Corner,7, Austria ,40,6.3
c816b439-d692-4c66-acca-dcdc4721c6be,39c27e00-2b6a-11b2-8080-808080808080,7,,,No Negative,0, everything top notch,4, Russia ,4,10.0
a5a5fb76-af94-45b7-b907-5cbd0e668a9e,27218e00-2b3b-11b2-8080-808080808080,233,,, Tea and coffee facilities in the room very poor I have had better in a 2 star hotel and I would not stay here again for that reason may seem picky but far from it ,37,No Positive,0, Isle of Man ,3,8.3
a5a5fb76-af94-45b7-b907-5cbd0e668a9e,2c601e00-2b1c-11b2-8080-808080808080,233,,, nothing,2, all,2, Bulgaria ,31,10.0
a5a5fb76-af94-45b7-b907-5cbd0e668a9e,59e7d600-2b18-11b2-8080-808080808080,233,,, Constructional noise at 8am on Saturday ,8, Very pleasant staff Super location All requests were treated very fast ,13, Switzerland ,2,8.8
7f5804bd-4064-4a13-8821-b98196f64821,dd231f00-2b4c-11b2-8080-808080808080,100,,, We asked for a taxi to the airport and they arranged transportation with a local driver and toke the money at the lobby which started at 110Euro that they demanded in cash taxi fair is 95 the driver tried to brake the sound barrier on the way at 160KpH it was scary,53,No Positive,0, Israel ,2,6.3
7f5804bd-4064-4a13-8821-b98196f64821,852cee00-2b35-11b2-8080-808080808080,100,,, The smell in the room,6, Location,2, Romania ,1,7.1
53261650-953a-4042-8783-916a41bb0d4c,2f5c0e00-2b1e-11b2-8080-808080808080,176,,, Unfriendly reception dirty hallways outdated stained sheets shower didn t drain and leaked all over the floor,18,No Positive,0, Canada ,10,4.6
53261650-953a-4042-8783-916a41bb0d4c,5ce3c600-2b1a-11b2-8080-808080808080,176,,, the air conditioner did not work the staff were not friendly or helpful and the mattress was the worst ,21,No Positive,0, Switzerland ,1,3.8
53261650-953a-4042-8783-916a41bb0d4c,272ce600-2af6-11b2-8080-808080808080,176,,,No Negative,0, The staff at breakfast were so friendly and helpful I enjoyed the wonderful appetizers that were at the bar during happy hour ,24, United States of America ,3,10.0
